"","region","stream_name_pse","sppSum"
"Central Coast-STEEP CREEK",Central Coast,STEEP CREEK,1291.32910500352
"Central Coast-STEWART CREEK",Central Coast,STEWART CREEK,4123.79899077052
"Central Coast-SYLVIA CREEK",Central Coast,SYLVIA CREEK,109.227272727273
"Central Coast-TAKUSH RIVER",Central Coast,TAKUSH RIVER,4308.89655172414
"Central Coast-TALAMOOSA CREEK",Central Coast,TALAMOOSA CREEK,2059.41460183887
"Central Coast-TALEOMEY RIVER",Central Coast,TALEOMEY RIVER,3133.52701355662
"Central Coast-TANKEEAH RIVER",Central Coast,TANKEEAH RIVER,5882.09254626459
"Central Coast-TASTSQUAN CREEK",Central Coast,TASTSQUAN CREEK,958.049019607843
"Central Coast-TAYLOR CREEK",Central Coast,TAYLOR CREEK,295.645021645022
"Central Coast-THORSEN CREEK",Central Coast,THORSEN CREEK,6196.74922600619
"Central Coast-TOM BAY CREEK",Central Coast,TOM BAY CREEK,850.914835164835
"Central Coast-TRAHEY CREEK",Central Coast,TRAHEY CREEK,1222.32092198582
"Central Coast-TRENEMAN CREEK",Central Coast,TRENEMAN CREEK,895.24645030426
"Central Coast-TSAYTIS RIVER",Central Coast,TSAYTIS RIVER,6485.3552631579
"Central Coast-TSIMTACK LAKE CREEK",Central Coast,TSIMTACK LAKE CREEK,5216.07995429509
"Central Coast-TUNO CREEK-EAST",Central Coast,TUNO CREEK-EAST,898.069646569646
"Central Coast-TUNO CREEK-WEST",Central Coast,TUNO CREEK-WEST,816.541666666667
"Central Coast-TURN CREEK",Central Coast,TURN CREEK,16910.8826050566
"Central Coast-TURTLE CREEK",Central Coast,TURTLE CREEK,12441.1255656109
"Central Coast-TUWARTZ CREEK",Central Coast,TUWARTZ CREEK,1071.56593406593
"Central Coast-TYLER CREEK",Central Coast,TYLER CREEK,7119.49594683923
"Central Coast-TZEO RIVER",Central Coast,TZEO RIVER,8541.48860398861
"Central Coast-VERNEY PASSAGE CREEK",Central Coast,VERNEY PASSAGE CREEK,2770.49898989899
"Central Coast-WAHOO CREEK",Central Coast,WAHOO CREEK,3791.23997536946
"Central Coast-WALE CREEK",Central Coast,WALE CREEK,3697.08476413627
"Central Coast-WALKER LAKE CREEK",Central Coast,WALKER LAKE CREEK,1160.91595441595
"Central Coast-WALKUM CREEK",Central Coast,WALKUM CREEK,2818.04924242424
"Central Coast-WANNOCK RIVER",Central Coast,WANNOCK RIVER,94884.917929293
