"region","species_name","species_pooled","cuid","cu_name_pse","psf_status"
"Fraser","Chinook","Chinook",312,"Upper Fraser River (Spring 5-2)","data-deficient"
"Fraser","Chum","Chum",701,"Lower Fraser","data-deficient"
"Fraser","Coho","Coho",906,"Boundary Bay","data-deficient"
"Fraser","Coho","Coho",705,"Fraser Canyon","data-deficient"
"Fraser","Coho","Coho",749,"Interior Fraser","data-deficient"
"Fraser","Coho","Coho",704,"Lillooet","data-deficient"
"Fraser","Coho","Coho",750,"Lower Fraser","data-deficient"
"Fraser","Coho","Coho",707,"Lower Thompson","data-deficient"
"Fraser","Coho","Coho",709,"North Thompson","data-deficient"
"Fraser","Coho","Coho",708,"South Thompson","data-deficient"
"Fraser","Lake sockeye","Sockeye",760,"Adams-Early Summer","extinct"
"Fraser","Lake sockeye","Sockeye",751,"Adams & Momich Lakes-Early Summer","data-deficient"
"Fraser","Lake sockeye","Sockeye",756,"Alouette-Early Summer","extinct"
"Fraser","Lake sockeye","Sockeye",719,"Anderson-Seton-Early Summer","poor"
"Fraser","Lake sockeye","Sockeye",735,"Bowron-Early Summer","poor"
"Fraser","Lake sockeye","Sockeye",720,"Chilko-Early Summer","data-deficient"
"Fraser","Lake sockeye","Sockeye",721,"Chilko-Summer","poor"
"Fraser","Lake sockeye","Sockeye",711,"Chilliwack-Early Summer (cyclic)","data-deficient"
"Fraser","Lake sockeye","Sockeye",757,"Coquitlam-Early Summer","extinct"
"Fraser","Lake sockeye","Sockeye",712,"Cultus-Late","data-deficient"
"Fraser","Lake sockeye","Sockeye",725,"Francois-Fraser-Summer","poor"
"Fraser","Lake sockeye","Sockeye",753,"Fraser-Early Summer","extinct"
"Fraser","Lake sockeye","Sockeye",713,"Harrison-Downstream Migrating-Late","poor"
"Fraser","Lake sockeye","Sockeye",714,"Harrison-Upstream Migrating-Late","poor"
"Fraser","Lake sockeye","Sockeye",740,"Kamloops-Early Summer","poor"
"Fraser","Lake sockeye","Sockeye",758,"Kawkawa-Late","extinct"
"Fraser","Lake sockeye","Sockeye",716,"Lillooet-Harrison-Late","poor"
"Fraser","Lake sockeye","Sockeye",761,"Momich-Early Summer","extinct"
"Fraser","Lake sockeye","Sockeye",727,"Nadina-Francois-Early Summer","good"
"Fraser","Lake sockeye","Sockeye",718,"Nahatlatch-Early Summer","fair"
"Fraser","Lake sockeye","Sockeye",763,"North Barriere-Early Summer","extinct"
"Fraser","Lake sockeye","Sockeye",752,"North Barriere-Early Summer (de novo)","poor"
"Fraser","Lake sockeye","Sockeye",715,"Pitt-Early Summer","poor"
"Fraser","Lake sockeye","Sockeye",728,"Quesnel-Summer (cyclic)","data-deficient"
"Fraser","Lake sockeye","Sockeye",729,"Seton-Late (de novo)","poor"
"Fraser","Lake sockeye","Sockeye",759,"Seton-Summer","extinct"
"Fraser","Lake sockeye","Sockeye",738,"Shuswap-Early Summer (cyclic)","data-deficient"
"Fraser","Lake sockeye","Sockeye",739,"Shuswap-Late (cyclic)","data-deficient"
"Fraser","Lake sockeye","Sockeye",732,"Takla-Trembleur-Early Stuart (cyclic)","data-deficient"
"Fraser","Lake sockeye","Sockeye",731,"Takla-Trembleur-Stuart-Summer (cyclic)","data-deficient"
"Fraser","Lake sockeye","Sockeye",734,"Taseko-Early Summer","fair"
"Fraser","Pink (odd)","Pink",710,"Fraser River (odd)","good"
"Fraser","River sockeye","Sockeye",745,"Harrison River (river-type)","poor"
"Fraser","River sockeye","Sockeye",742,"Widgeon (river-type)","fair"
