"region","species","year","spawners","smoothedSpawners","expansion_factor1","expansion_factor2"
"Skeena","Chinook",2007,29792.2753501054,25662.0248844499,1.30022150910621,1.27154443186464
"Skeena","Chinook",2008,28917.5112713992,26875.8142646435,1.35304840514045,1.27154443186464
"Skeena","Chinook",2009,37674.9725438425,27329.2849174978,1.31446257362171,1.27154443186464
"Skeena","Chinook",2010,31446.9067815968,29683.0393213897,1.07182406698473,1.27154443186464
"Skeena","Chinook",2011,32811.3635515626,32097.5283271965,1.33376435534337,1.27154443186464
"Skeena","Chinook",2012,38783.5067459334,33031.4625075854,1.41110813144469,1.27154443186464
"Skeena","Chinook",2013,23605.4383385966,31774.5349080992,1.40767238370673,1.27154443186464
"Skeena","Chinook",2014,26967.4621613298,31406.9475908012,1.43271167022005,1.27154443186464
"Skeena","Chinook",2015,40736.2981415589,31818.5583945287,1.43271167022005,1.27154443186464
"Skeena","Chinook",2016,35445.9171298381,32459.7531839244,1.43271167022005,1.27154443186464
"Skeena","Chinook",2017,9890.72400947804,26579.4412698095,1.46709021216402,1.27154443186464
"Skeena","Chinook",2018,30781.3888570017,25575.2195206603,1.08424217996859,1.27154443186464
"Skeena","Chinook",2019,26638.2560683728,26095.6622897212,1.42021071836086,1.27154443186464
"Skeena","Chinook",2020,12382.8332519161,22920.8990216005,1.43085801161237,1.27154443186464
"Skeena","Chinook",2021,8365.82208624323,17605.6808632941,1.19146333301622,1.27154443186464
"Skeena","Chum",1950,32010.3911798681,32010.3911798681,1.06149681839377,1.23337011517888
"Skeena","Chum",1951,13776.0381984948,20999.4374125266,1.06884474586842,1.23337011517888
"Skeena","Chum",1952,24717.7718872514,22172.1706867246,1.06884474586842,1.23337011517888
"Skeena","Chum",1953,9116.21878558267,17754.557174405,1.07120410336333,1.23337011517888
"Skeena","Chum",1954,28372.5794812156,19499.6869902391,1.07120410336333,1.23337011517888
"Skeena","Chum",1955,2671.40974020942,11866.3606851555,1.09668015305539,1.23337011517888
"Skeena","Chum",1956,102826.824818688,17738.3803245666,22.1142214410231,1.23337011517888
"Skeena","Chum",1957,4752.00588632968,12755.2064491525,1.11677183805494,1.23337011517888
"Skeena","Chum",1958,5099.08021888692,11355.9353980211,1.09256502905924,1.23337011517888
"Skeena","Chum",1959,34024.4977695267,11776.1002361285,26.9137638100269,1.23337011517888
"Skeena","Chum",1960,9884.31919437154,15298.2849148775,20.0351846390773,1.23337011517888
"Skeena","Chum",1961,47149.3477972592,13089.305309385,1.07120410336333,1.23337011517888
"Skeena","Chum",1962,10461.7213632254,15327.165031116,1.08053806555818,1.23337011517888
"Skeena","Chum",1963,5873.27683475804,15766.6547957422,1.10103452845872,1.23337011517888
"Skeena","Chum",1964,6679.82606608009,11385.031726408,1.05676364278655,1.23337011517888
"Skeena","Chum",1965,6238.73890064603,10383.98984907,1.04834944924491,1.23337011517888
"Skeena","Chum",1966,19728.8168428562,8723.47107062906,1.00761328719659,1.23337011517888
"Skeena","Chum",1967,16034.3799143045,9501.21464049286,1.00778766394475,1.23337011517888
"Skeena","Chum",1968,11652.7034644872,10896.5338897172,1.0410860804021,1.23337011517888
"Skeena","Chum",1969,11007.4134484414,12041.2728916133,1.03474361295803,1.23337011517888
"Skeena","Chum",1970,12030.3247101199,13731.2004407161,1.06601381825663,1.23337011517888
"Skeena","Chum",1971,4315.41554459785,10131.9449839521,1.06836068065745,1.23337011517888
"Skeena","Chum",1972,34636.6361939642,11819.2394331575,1.04416886246156,1.23337011517888
"Skeena","Chum",1973,23400.1739968146,13587.7644329545,1.04416886246156,1.23337011517888
"Skeena","Chum",1974,10630.6618285869,13493.4503004788,1.04792686751593,1.23337011517888
"Skeena","Chum",1975,8498.06705446307,12587.2707702983,1.04792686751593,1.23337011517888
"Skeena","Chum",1976,9137.27212478809,14624.8143612794,1.04416886246156,1.23337011517888
"Skeena","Chum",1977,9273.55606323536,11236.5368625985,1.04792686751593,1.23337011517888
"Skeena","Chum",1978,6447.47347732807,8682.93552903707,1.0351535241049,1.23337011517888
"Skeena","Chum",1979,4797.70355307091,7405.61614822739,1.07012761995436,1.23337011517888
"Skeena","Chum",1980,24417.4733787653,9146.12876960815,1.07012761995436,1.23337011517888
"Skeena","Chum",1981,10988.8465989341,9489.96087434864,1.05190199627033,1.23337011517888
"Skeena","Chum",1982,5680.0092851293,8603.69429407315,1.0393309840242,1.23337011517888
"Skeena","Chum",1983,1418.02857587482,6355.41704442603,1.03858953131359,1.23337011517888
"Skeena","Chum",1984,36214.031631996,9521.66171322495,1.04342049354191,1.23337011517888
"Skeena","Chum",1985,14070.1347538891,8527.70669244228,1.05190199627033,1.23337011517888
"Skeena","Chum",1986,10926.2432218167,8517.96801833728,1.04900555680413,1.23337011517888
"Skeena","Chum",1987,5850.81365683426,8568.59170856479,1.06601381825663,1.23337011517888
"Skeena","Chum",1988,108850.244176739,20414.4805762067,1.04393568392259,1.23337011517888
"Skeena","Chum",1989,22597.7222157786,18577.0133026049,1.04900555680413,1.23337011517888
"Skeena","Chum",1990,5867.8668330437,15595.9663895219,1.04792686751593,1.23337011517888
"Skeena","Chum",1991,36808.6268791149,19884.196265138,15.4232261319208,1.23337011517888
"Skeena","Chum",1992,5829.93063338291,19869.9816182366,1.03545012377231,1.23337011517888
"Skeena","Chum",1993,28239.0930766268,15170.5642035686,10.3742089386119,1.23337011517888
"Skeena","Chum",1994,9887.68055944065,12859.0144721284,1.05692804291227,1.23337011517888
"Skeena","Chum",1995,9769.92733500223,14239.3413752222,1.08362879143665,1.23337011517888
"Skeena","Chum",1996,10404.4602781108,11059.7138344718,1.08848997320848,1.23337011517888
"Skeena","Chum",1997,28394.1077267153,15179.478717214,1.08848997320848,1.23337011517888
"Skeena","Chum",1998,18610.3222033855,13964.8889677449,1.07471513063653,1.23337011517888
