"region","species","type","current_status","short_trend","short_trend_cat","long_trend","long_trend_cat","current_abundance","current_abundance_year","average_abundance","previous_gen_abundance","gen_length","regionspecies","nyears","rangeyears"
"Fraser","Sockeye","Spawners",0.603975369989625,-0.0482381106004525,"arrows-left-right",0.00954064457774551,"arrow-up",1699036.45702015,2025,1059265.92690207,898600.962569268,4,"Fraser Sockeye",133,"1893-2025"
"Fraser","Sockeye","Run Size",-0.349637072771753,-0.0736656864865272,"arrow-down",-0.00059640259715088,"arrows-left-right",2957318.03415323,2025,4547181.13585732,1580922.8433641,4,"Fraser Sockeye",133,"1893-2025"
"Fraser","Steelhead","Spawners",-0.813327235402244,-0.122594329893399,"arrow-down",-0.018123198371825,"arrow-down",271.114563353556,2023,1452.35200184535,671.88970250166,5,"Fraser Steelhead",52,"1972-2023"
"Fraser","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Columbia","Chinook","Spawners",-999999,0.109098672552342,"arrow-up",0.0651217900932382,"arrow-up",33.1223972825848,2023,22.725743022065,37.2015144938043,5,"Columbia Chinook",18,"2006-2023"
"Columbia","Chinook","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
"Columbia","Sockeye","Spawners",1.86872338643586,-0.0339239053603273,"arrow-down",0.0247634422864529,"arrow-up",64655.6905064773,2024,22538.1404189012,44982.1907706421,4,"Columbia Sockeye",64,"1961-2024"
"Columbia","Sockeye","Run Size",2.97890843135629,-0.0550802465620795,"arrows-left-right",0.0478271898648499,"arrow-up",267955.866014348,2023,67344.0644933389,110511.408339405,4,"Columbia Sockeye",44,"1980-2023"
"Columbia","Steelhead","Spawners",-999999,-0.150327580354602,"arrow-down",-0.137805448789958,"arrow-down",3.48773608364225,2025,17.6499459851527,16.169912526681,5,"Columbia Steelhead",20,"2006-2025"
"Columbia","Steelhead","Run Size",NA,NA,"",NA,"",NA,NA,NA,NA,5,NA,NA,NA
